"s"	"ct"
"http://rdf.glycoinfo.org/glycan/G73971ME"	"RES
1b:x-dgal-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
4:3o(4+1)5d"
"http://rdf.glycoinfo.org/glycan/G84978IZ"	"RES
1b:b-dglc-HEX-1:5
2b:b-dglc-HEX-1:5
3b:b-dglc-HEX-1:5
4b:b-dglc-HEX-1:5
5b:b-dglc-HEX-1:5
6b:b-dglc-HEX-1:5
7b:b-dglc-HEX-1:5
8s:n-acetyl
LIN
1:1o(6+1)2d
2:2o(3+1)3d
3:2o(6+1)4d
4:4o(6+1)5d
5:5o(3+1)6d
6:5o(6+1)7d
7:7d(2+1)8n"
"http://rdf.glycoinfo.org/glycan/G50343JE"	"RES
1b:a-lgro-dman-HEP-1:5
2b:a-lgro-dman-HEP-1:5
3b:b-dglc-HEX-1:5
LIN
1:1o(3+1)2d
2:1o(4+1)3d"
"http://rdf.glycoinfo.org/glycan/G19875ZA"	"RES
1b:x-dglc-HEX-1:5
2s:amino
3s:sulfate
LIN
1:1d(2+1)2n
2:1o(4+1)3n"
"http://rdf.glycoinfo.org/glycan/G40807AU"	"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dman-HEX-1:5
4b:a-dman-HEX-1:5
5b:a-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:a-dglc-HEX-1:5
8b:a-dglc-HEX-1:5
9b:a-dglc-HEX-1:5
10b:a-dman-HEX-1:5
11b:a-dman-HEX-1:5
12b:a-dman-HEX-1:5
13b:a-dman-HEX-1:5
14b:a-dman-HEX-1:5
15b:a-dman-HEX-1:5
16b:a-dman-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(3+1)4d
4:4o(2+1)5d
5:5o(2+1)6d
6:6o(3+1)7d
7:7o(3+1)8d
8:8o(2+1)9d
9:4o(6+1)10d
10:10o(2+1)11d
11:3o(6+1)12d
12:12o(3+1)13d
13:12o(6+1)14d
14:14o(2+1)15d
15:15o(3+1)16d"
"http://rdf.glycoinfo.org/glycan/G82151AD"	"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dgal-HEX-1:5
6b:b-dglc-HEX-1:5
7s:n-acetyl
8b:b-dgal-HEX-1:5
LIN
1:1o(2+1)2d
2:2o(3+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:2o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d"
"http://rdf.glycoinfo.org/glycan/G07533UM"	"RES
1b:x-dglc-HEX-1:5
2b:a-dglc-HEX-1:5
3b:a-dglc-HEX-1:5
LIN
1:1o(2+1)2d
2:2o(3+1)3d"
"http://rdf.glycoinfo.org/glycan/G84604GR"	"RES
1b:a-dglc-HEX-1:5
2b:a-dglc-HEX-1:5
3b:a-dglc-HEX-1:5
4b:a-dglc-HEX-1:5
5b:a-dglc-HEX-1:5
6b:a-dglc-HEX-1:5
7b:a-dman-HEX-1:5
8s:anhydro
LIN
1:1o(4+1)2d
2:2o(4+1)3d
3:3o(4+1)4d
4:4o(4+1)5d
5:5o(4+1)6d
6:6o(4+1)7d
7:7o(4+1)1d
8:7d(2+1)8n
9:7o(3+1)8n"
"http://rdf.glycoinfo.org/glycan/G92045DI"	"RES
1b:x-dgal-HEX-1:5
2b:a-dglc-HEX-1:5
3b:b-dglc-HEX-1:5
LIN
1:1o(4+1)2d
2:2o(4+1)3d"
"http://rdf.glycoinfo.org/glycan/G95558TC"	"RES
1b:a-dglc-HEX-1:5
2s:methyl
3b:a-dglc-HEX-1:5
4s:methyl
5b:a-dglc-HEX-1:5
6s:methyl
7b:a-dglc-HEX-1:5
8s:methyl
9b:a-dglc-HEX-1:5
10s:methyl
11b:a-dglc-HEX-1:5
12s:methyl
13b:a-dglc-HEX-1:5
14s:methyl
15s:methyl
16s:methyl
17s:methyl
18s:methyl
19s:methyl
20s:methyl
21s:methyl
LIN
1:1o(3+1)2n
2:1o(4+1)3d
3:3o(3+1)4n
4:3o(4+1)5d
5:5o(3+1)6n
6:5o(4+1)7d
7:7o(3+1)8n
8:7o(4+1)9d
9:9o(3+1)10n
10:9o(4+1)11d
11:11o(3+1)12n
12:11o(4+1)13d
13:13o(3+1)14n
14:13o(4+1)1d
15:13o(6+1)15n
16:11o(6+1)16n
17:9o(6+1)17n
18:7o(6+1)18n
19:5o(6+1)19n
20:3o(6+1)20n
21:1o(6+1)21n"
"http://rdf.glycoinfo.org/glycan/G40900UQ"	"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:a-dman-HEX-1:5
8b:b-dglc-HEX-1:5
9s:n-acetyl
10b:b-dglc-HEX-1:5
11s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:5o(6+1)7d
7:7o(2+1)8d
8:8d(2+1)9n
9:7o(6+1)10d
10:10d(2+1)11n"
"http://rdf.glycoinfo.org/glycan/G31242TK"	"RES
1b:b-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:a-dman-HEX-1:5
8b:a-dman-HEX-1:5
9b:a-dman-HEX-1:5
10b:a-dman-HEX-1:5
11b:a-dgal-HEX-1:4
12b:a-dman-HEX-1:5
13b:a-dman-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:6o(2+1)7d
7:7o(2+1)8d
8:5o(6+1)9d
9:9o(3+1)10d
10:10o(2+1)11d
11:9o(6+1)12d
12:12o(2+1)13d"
"http://rdf.glycoinfo.org/glycan/G70745AY"	"RES
1b:a-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:b-dglc-HEX-1:5
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n"
"http://rdf.glycoinfo.org/glycan/G75762RH"	"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:b-dgal-HEX-1:5
4s:n-acetyl
5b:b-dgal-HEX-1:5
LIN
1:1o(4+1)2d
2:2o(3+1)3d
3:3d(2+1)4n
4:3o(3+1)5d"
"http://rdf.glycoinfo.org/glycan/G56809YT"	"RES
1b:a-lara-PEN-1:4
2b:a-lara-PEN-1:4
3b:a-lara-PEN-1:4
LIN
1:1o(5+1)2d
2:2o(5+1)3d"
"http://rdf.glycoinfo.org/glycan/G47782PQ"	"RES
1b:a-dglc-HEX-1:5
2b:a-dglc-HEX-1:5
3b:a-dglc-HEX-1:5
4b:a-dglc-HEX-1:5
5b:a-dglc-HEX-1:5
6b:a-dglc-HEX-1:5
7b:a-dglc-HEX-1:5
8s:amino
9s:amino
LIN
1:1o(4+1)2d
2:2o(4+1)3d
3:3o(4+1)4d
4:4o(4+1)5d
5:5o(4+1)6d
6:6o(4+1)7d
7:7o(4+1)1d
8:7d(6+1)8n
9:6d(6+1)9n"
"http://rdf.glycoinfo.org/glycan/G95877HS"	"RES
1b:x-dglc-HEX-1:5
2b:b-dglc-HEX-1:5
3b:b-dxyl-PEN-1:5
4b:a-dxyl-PEN-1:5
LIN
1:1o(4+1)2d
2:2o(6+1)3d
3:1o(6+1)4d"
"http://rdf.glycoinfo.org/glycan/G96683VV"	"RES
1b:a-dglc-HEX-1:5
2s:amino
3b:a-dman-HEX-1:5
4b:a-dman-HEX-1:5
5b:a-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:a-dman-HEX-1:5
8b:a-dman-HEX-1:5
9s:phospho-ethanolamine
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(6+1)4d
4:4o(2+1)5d
5:5o(2+1)6d
6:6o(2+1)7d
7:6o(3+1)8d
8:5o(6+1)9n"
"http://rdf.glycoinfo.org/glycan/G48428NF"	"RES
1b:a-dgul-HEX-1:4"
"http://rdf.glycoinfo.org/glycan/G58923UV"	"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dman-HEX-1:5
4b:a-dman-HEX-1:5
5b:a-dman-HEX-1:5
6s:phosphate
7b:a-dman-HEX-1:5
8b:a-dman-HEX-1:5
9b:a-dman-HEX-1:5
10s:phosphate
11b:a-dman-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(3+1)4d
4:4o(2+1)5d
5:5o(6+1)6n
6:6n(1+1)7o
7:3o(6+1)8d
8:8o(6+1)9d
9:9o(6+1)10n
10:10n(1+1)11o"
"http://rdf.glycoinfo.org/glycan/G34430KU"	"RES
1b:x-dxyl-PEN-1:5
2b:b-dxyl-PEN-1:5
3b:b-dxyl-PEN-1:5
4b:a-lara-PEN-1:4
5b:b-dxyl-PEN-1:5
6b:b-dxyl-PEN-1:5
7b:b-dxyl-PEN-1:5
8b:a-lara-PEN-1:4
9b:b-dxyl-PEN-1:5
LIN
1:1o(4+1)2d
2:2o(4+1)3d
3:3o(3+1)4d
4:3o(4+1)5d
5:5o(4+1)6d
6:6o(4+1)7d
7:7o(3+1)8d
8:7o(4+1)9d"
"http://rdf.glycoinfo.org/glycan/G48048OZ"	"RES
1b:x-dara-PEN-1:5
2b:a-dara-PEN-1:4
3b:a-dara-PEN-1:4
4b:b-dara-PEN-1:4
5b:a-dman-HEX-1:5
6b:a-dara-PEN-1:4
7b:b-dara-PEN-1:4
8b:a-dman-HEX-1:5
9b:a-dman-HEX-1:5
LIN
1:1o(5+1)2d
2:2o(3+1)3d
3:3o(2+1)4d
4:4o(5+1)5d
5:2o(5+1)6d
6:6o(2+1)7d
7:7o(5+1)8d
8:8o(2+1)9d"
"http://rdf.glycoinfo.org/glycan/G24010VW"	"RES
1b:x-dgal-HEX-1:5
2b:b-dglc-HEX-1:5
3s:n-acetyl
4b:b-dgal-HEX-1:5
LIN
1:1o(6+1)2d
2:2d(2+1)3n
3:2o(3+1)4d"
"http://rdf.glycoinfo.org/glycan/G35928PL"	"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dman-HEX-1:5
4b:a-dman-HEX-1:5
5b:a-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:b-dglc-HEX-1:5
8b:b-dglc-HEX-1:5
9b:b-dglc-HEX-1:5
10b:a-dman-HEX-1:5
11b:a-dman-HEX-1:5
12b:a-dman-HEX-1:5
13b:a-dman-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(3+1)4d
4:4o(2+1)5d
5:5o(2+1)6d
6:6o(2+1)7d
7:7o(2+1)8d
8:8o(2+1)9d
9:3o(6+1)10d
10:10o(3+1)11d
11:10o(6+1)12d
12:12o(2+1)13d"
"http://rdf.glycoinfo.org/glycan/G86258PP"	"RES
1b:a-dgal-HEX-1:5
2b:a-dman-HEX-1:5
3b:b-dglc-HEX-1:5
LIN
1:1o(3+1)2d
2:1o(4+1)3d"
"http://rdf.glycoinfo.org/glycan/G68999BA"	"RES
1b:x-dgal-HEX-1:5
2b:a-dglc-HEX-1:5
3b:a-dman-HEX-1:5
LIN
1:1o(2+1)2d
2:1o(3+1)3d"
"http://rdf.glycoinfo.org/glycan/G51792NN"	"RES
1b:x-dglc-HEX-1:5
2b:a-dman-HEX-1:5
3b:b-dglc-HEX-1:5
4s:n-acetyl
5s:amino
LIN
1:1o(6+1)2d
2:2o(2+1)3d
3:3d(2+1)4n
4:3d(4+1)5n"
"http://rdf.glycoinfo.org/glycan/G61429CU"	"RES
1b:x-dgal-HEX-1:4
2b:b-dgal-HEX-1:4
LIN
1:1o(3+1)2d"
"http://rdf.glycoinfo.org/glycan/G96584NP"	"RES
1b:b-dido-HEX-1:5"
"http://rdf.glycoinfo.org/glycan/G42576KW"	"RES
1b:b-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:a-dman-HEX-1:5
6s:methyl
LIN
1:1o(3+1)2d
2:2o(2+1)3d
3:3d(2+1)4n
4:1o(6+1)5d
5:5o(3+1)6n"
"http://rdf.glycoinfo.org/glycan/G71817IG"	"RES
1b:b-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:b-dglc-HEX-1:5
4s:n-acetyl
LIN
1:1o(3+1)2d
2:2o(2+1)3d
3:3d(2+1)4n"
"http://rdf.glycoinfo.org/glycan/G85838ZJ"	"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dman-HEX-1:5
4b:a-dman-HEX-1:5
5b:b-dglc-HEX-1:5
6s:n-acetyl
7b:b-dgal-HEX-1:5
8b:a-dman-HEX-1:5
9b:b-dglc-HEX-1:5
10s:n-acetyl
11b:b-dgal-HEX-1:5
12b:b-dglc-HEX-1:5
13s:n-acetyl
14b:b-dgal-HEX-1:5
15b:b-dglc-HEX-1:5
16s:n-acetyl
17b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(3+1)4d
4:4o(2+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:3o(6+1)8d
8:8o(2+1)9d
9:9d(2+1)10n
10:9o(4+1)11d
11:8o(6+1)12d
12:12d(2+1)13n
13:12o(4+1)14d
14:14o(3+1)15d
15:15d(2+1)16n
16:15o(4+1)17d"
"http://rdf.glycoinfo.org/glycan/G29995RP"	"RES
1b:x-dglc-HEX-1:5
2b:a-dglc-HEX-1:5
3b:a-dglc-HEX-1:5
4b:a-dglc-HEX-1:5
LIN
1:1o(6+1)2d
2:2o(4+1)3d
3:3o(4+1)4d"
"http://rdf.glycoinfo.org/glycan/G13392DC"	"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
4b:a-dman-HEX-1:5
5b:a-dglc-HEX-1:5
6b:a-dglc-HEX-1:5
7b:a-dglc-HEX-1:5
8b:a-dman-HEX-1:5
9b:a-dman-HEX-1:5
10b:a-dman-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(2+1)3d
3:3o(2+1)4d
4:4o(3+1)5d
5:5o(3+1)6d
6:6o(2+1)7d
7:1o(6+1)8d
8:8o(3+1)9d
9:9o(2+1)10d"
"http://rdf.glycoinfo.org/glycan/G91692HM"	"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4b:a-dman-HEX-1:5
5b:b-dglc-HEX-1:5
6s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(6+1)4d
4:4o(2+1)5d
5:5d(2+1)6n"
"http://rdf.glycoinfo.org/glycan/G65236EL"	"RES
1b:b-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dman-HEX-1:5
6b:b-dman-HEX-1:5
7b:b-dman-HEX-1:5
8b:b-dman-HEX-1:5
9b:b-dman-HEX-1:5
10b:b-dman-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:6o(2+1)7d
7:5o(6+1)8d
8:8o(3+1)9d
9:8o(6+1)10d"
"http://rdf.glycoinfo.org/glycan/G39795NJ"	"RES
1b:a-lgro-dman-HEP-1:5
2b:a-dgro-dman-HEP-1:5
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dgal-HEX-1:5
LIN
1:1o(6+1)2d
2:2o(2+1)3d
3:3d(2+1)4n
4:3o(4+1)5d"
"http://rdf.glycoinfo.org/glycan/G68912OX"	"RES
1b:b-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:a-dman-HEX-1:5
8b:a-dman-HEX-1:5
9b:a-dglc-HEX-1:5
10b:a-dglc-HEX-1:5
11b:a-dglc-HEX-1:5
12b:a-dman-HEX-1:5
13b:a-dman-HEX-1:5
14b:a-dman-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:6o(2+1)7d
7:7o(2+1)8d
8:8o(3+1)9d
9:9o(3+1)10d
10:10o(2+1)11d
11:6o(6+1)12d
12:12o(2+1)13d
13:5o(6+1)14d"
"http://rdf.glycoinfo.org/glycan/G30880PX"	"RES
1b:x-dgal-HEX-1:5
2b:a-dglc-HEX-1:5
3b:a-dglc-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(2+1)3d"
"http://rdf.glycoinfo.org/glycan/G82732NU"	"RES
1b:b-dgal-HEX-1:5
2b:a-lgal-HEX-1:5
3b:b-dgal-HEX-1:5
4b:a-lgal-HEX-1:5
5s:sulfate
6s:methyl
7s:anhydro
LIN
1:1o(3+1)2d
2:2o(4+1)3d
3:3o(3+1)4d
4:4o(6+1)5n
5:3o(6+1)6n
6:2d(3+1)7n
7:2o(6+1)7n"
"http://rdf.glycoinfo.org/glycan/G82294PG"	"RES
1b:x-dxyl-PEN-1:5
2b:b-dxyl-PEN-1:5
3b:b-dxyl-PEN-1:5
4b:a-lara-PEN-1:4
5b:a-lara-PEN-1:4
6b:b-dxyl-PEN-1:5
7b:b-dxyl-PEN-1:5
8b:b-dxyl-PEN-1:5
9b:a-lara-PEN-1:4
10b:a-lara-PEN-1:4
11b:b-dxyl-PEN-1:5
LIN
1:1o(4+1)2d
2:2o(4+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:3o(4+1)6d
6:6o(4+1)7d
7:7o(4+1)8d
8:8o(2+1)9d
9:8o(3+1)10d
10:8o(4+1)11d"
"http://rdf.glycoinfo.org/glycan/G77554ZE"	"RES
1b:x-dglc-HEX-1:5
2b:b-dxyl-PEN-1:5
LIN
1:1o(2+1)2d"
"http://rdf.glycoinfo.org/glycan/G28184KC"	"RES
1b:a-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
4b:a-dman-HEX-1:5
5b:a-dman-HEX-1:5
6b:a-dara-PEN-1:4
7b:a-dara-PEN-1:4
8b:a-dara-PEN-1:4
9b:a-dara-PEN-1:4
10b:a-dara-PEN-1:4
11b:a-dara-PEN-1:4
12b:a-dman-HEX-1:5
LIN
1:1o(6+1)2d
2:2o(6+1)3d
3:3o(2+1)4d
4:3o(6+1)5d
5:5o(2+1)6d
6:6o(5+1)7d
7:7o(5+1)8d
8:8o(3+1)9d
9:9o(5+1)10d
10:8o(5+1)11d
11:5o(6+1)12d"
"http://rdf.glycoinfo.org/glycan/G77439SE"	"RES
1b:a-dara-PEN-1:4
2b:a-dara-PEN-1:4
3b:b-dara-PEN-1:4
LIN
1:1o(5+1)2d
2:2o(2+1)3d"
"http://rdf.glycoinfo.org/glycan/G70112MZ"	"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dglc-HEX-1:5
6s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
4:3o(3+1)5d
5:5d(2+1)6n"
"http://rdf.glycoinfo.org/glycan/G75541CW"	"RES
1b:a-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dgal-HEX-1:5
6b:b-dglc-HEX-1:5
7s:n-acetyl
8b:b-dgal-HEX-1:5
9b:b-dglc-HEX-1:5
10s:n-acetyl
11b:b-dgal-HEX-1:5
LIN
1:1o(4+1)2d
2:2o(3+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:5o(6+1)9d
9:9d(2+1)10n
10:9o(4+1)11d"
"http://rdf.glycoinfo.org/glycan/G53471VF"	"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:b-dglc-HEX-1:5
8s:n-acetyl
9b:b-dgal-HEX-1:5
10b:b-dglc-HEX-1:5
11s:n-acetyl
12b:b-dglc-HEX-1:5
13s:n-acetyl
14b:a-dman-HEX-1:5
15b:a-dman-HEX-1:5
16b:a-dman-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:6o(2+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
9:6o(4+1)10d
10:10d(2+1)11n
11:5o(4+1)12d
12:12d(2+1)13n
13:5o(6+1)14d
14:14o(3+1)15d
15:14o(6+1)16d"
"http://rdf.glycoinfo.org/glycan/G56390QA"	"RES
1b:b-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dgal-HEX-1:5
6b:a-dgal-HEX-1:5
LIN
1:1o(4+1)2d
2:2o(3+1)3d
3:3d(2+1)4n
4:3o(3+1)5d
5:5o(3+1)6d"
"http://rdf.glycoinfo.org/glycan/G38078TR"	"RES
1b:a-dgal-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-dgal-HEX-1:5
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4d(2+1)5n"
"http://rdf.glycoinfo.org/glycan/G58535HY"	"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:b-dxyl-PEN-1:5
4b:b-dglc-HEX-1:5
5b:b-dxyl-PEN-1:5
6b:b-dxyl-PEN-1:5
LIN
1:1o(2+1)2d
2:2o(3+1)3d
3:1o(3+1)4d
4:4o(2+1)5d
5:4o(3+1)6d"
"http://rdf.glycoinfo.org/glycan/G11189WY"	"RES
1b:b-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:a-dman-HEX-1:5
8b:a-dman-HEX-1:5
9b:a-dman-HEX-1:5
10b:a-dman-HEX-1:5
11b:a-dman-HEX-1:5
12b:a-dman-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:6o(2+1)7d
7:7o(2+1)8d
8:5o(6+1)9d
9:9o(2+1)10d
10:9o(6+1)11d
11:11o(6+1)12d"
"http://rdf.glycoinfo.org/glycan/G34735EW"	"RES
1b:x-dgal-HEX-1:5
2b:b-dglc-HEX-1:5
3b:b-dglc-HEX-1:5
4b:b-dglc-HEX-1:5
5b:b-dglc-HEX-1:5
6b:b-dglc-HEX-1:5
7b:a-dglc-HEX-1:5
8b:a-drib-PEN-1:4
LIN
1:1o(3+1)2d
2:2o(4+1)3d
3:3o(4+1)4d
4:4o(6+1)5d
5:5o(6+1)6d
6:6o(4+1)7d
7:7o(4+1)8d"
