Abbreviation	Short Name	Systematic name
Rha	L-Rhamnose	6-Deoxy-L-mannopyranose
RhaNAc	N-Acetyl-L-rhamnosamine	2-Acetamido-2,6-dideoxy-L-mannopyranose
Rib	D-Ribose	D-Ribopyranose
Sia	Sialic acid	Sialic acid residue of unspecified type
Sor	L-Sorbose	L-xylo-Hex-2-ulopyranose
Tag	D-Tagatose	D-lyxo-Hex-2-ulopyranose
Tal	D-Talose	D-Talopyranose
TalA	D-Taluronic acid	D-Talopyranuronic acid
TalN	D-Talosamine	2-Amino-2-deoxy-D-talopyranose
TalNAc	N-Acetyl-D-talosamine	2-Acetamido-2-deoxy-D-talopyranose
Tyv	Tyvelose	3,6-Dideoxy-D-arabino-hexopyranose
Xyl	D-Xylose	D-Xylopyranose
